ID,Transcript,Turn,Speaker,Sentence,TalkMove_truth
0,TalkBack.Year1.Benson.Fall.121019.xlsx,1,T,Okay so can you guys see,
2,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Yes your learning intention is you can multiply twodigit numbers by twodigit numbers,
3,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Were building up our skills two digits by two digits and were going to use partial product strategy,
4,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Well practice using the partitioned rectangles but then apply that practice doing partial products,
5,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Youll be successful if you can solve twodigit by twodigit numbers and you can match your partitioned rectangles to your partial products,
6,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Making sure that you can see how your answers should be the same,
7,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Okay,
8,TalkBack.Year1.Benson.Fall.121019.xlsx,3,T,Youre mental math youre just doing quick extended facts,
9,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,No youre not going to work and your math message is at the top of page 130 just problem one,
10,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Theres a partitioned rectangle problem followed by a partial products problem,
11,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Please go check your homework with a partner,Keeping Everyone Together
12,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Get started on mental math,
13,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Do problem one on page 130 and well get started in about eight minutes,
14,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Go,Keeping Everyone Together
15,TalkBack.Year1.Benson.Fall.121019.xlsx,4,T,Why are you just automatically changing your answer,Pressing for Reasoning
16,TalkBack.Year1.Benson.Fall.121019.xlsx,5,T,How do you know he is right,Getting Students to Relate to Another's Ideas
17,TalkBack.Year1.Benson.Fall.121019.xlsx,6,T,Talk about what steps you took to get there,Pressing for Accuracy
18,TalkBack.Year1.Benson.Fall.121019.xlsx,6,T,Im sorry,
19,TalkBack.Year1.Benson.Fall.121019.xlsx,6,T,If you werent,
20,TalkBack.Year1.Benson.Fall.121019.xlsx,7,T,You guys should go ask someone else,
21,TalkBack.Year1.Benson.Fall.121019.xlsx,7,T,Youre comparing,Keeping Everyone Together
23,TalkBack.Year1.Benson.Fall.121019.xlsx,9,T,Start again,
24,TalkBack.Year1.Benson.Fall.121019.xlsx,9,T,I have no idea what you just said,
