ID,Turn,Speaker,Sentence,Tag,StudentTag,Transcript
0,1,T,Okay so can you guys see,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
1,2,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
2,3,T,Yes your learning intention is you can multiply twodigit numbers by twodigit numbers,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
3,3,T,Were building up our skills two digits by two digits and were going to use partial product strategy,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
4,3,T,Well practice using the partitioned rectangles but then apply that practice doing partial products,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
5,3,T,Youll be successful if you can solve twodigit by twodigit numbers and you can match your partitioned rectangles to your partial products,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
6,3,T,Making sure that you can see how your answers should be the same,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
7,3,T,Okay,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
8,3,T,Youre mental math youre just doing quick extended facts,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
9,4,T,No youre not going to work and your math message is at the top of page 130 just problem one,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
10,4,T,Theres a partitioned rectangle problem followed by a partial products problem,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
11,4,T,Please go check your homework with a partner,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
12,4,T,Get started on mental math,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
13,4,T,Do problem one on page 130 and well get started in about eight minutes,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
14,4,T,Go,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
15,4,T,Why are you just automatically changing your answer,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
16,5,T,How do you know he is right,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
35,12,T,Hustle up,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
36,13,T,Okay,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
37,13,T,Times up,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
38,13,T,Lets see what you got two,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
39,13,T,All right who did pink problems,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
40,13,T,Okay so,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
41,13,T,4 times 50,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
42,14,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
43,15,T,30 times 7,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
44,16,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
45,17,T,70 times 8,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
46,18,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
47,19,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
48,20,T,I hear you thinking,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
49,20,T,Basic facts with what,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
50,21,T,Yes,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
51,21,T,I heard it,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
52,21,T,I heard you say 56 and  thinking through,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
53,21,T,20 times 40,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
54,22,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
55,23,T,Why Clayton,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
56,23,T,Why not 80,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
57,24,S,Because 80 wouldnt work because theres 2 zeros added,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
58,25,T,Okay,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
59,25,T,Basic fact in there,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
60,25,T,Two extra zeros added in there,4,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
61,25,T,70 times 40,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
62,26,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
63,27,T,9 times 30,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
64,28,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
65,29,T,60 times 800,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
66,30,S,804 80000 48000,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
67,31,T,nan,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
68,31,T,Why 48000 and not 4800,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
69,31,T,Matt why not,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
70,32,S,Because there is 4 zeros,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
71,33,T,4 extra zeros to your basic fact,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
