Prompt,Model,N,Accuracy,Kappa,Run_Name,Sample_Type,Analysis_Time
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,8426,0.7743887965820081,0.583210133354691,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,10467,0.7571414923091622,0.5700325805539466,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,10535,0.7670621737066919,0.5431372563919219,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,9094,0.7338904772377391,0.5364453202556485,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,9562,0.7540263543191801,0.5247582096020343,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,10533,0.7237254343491882,0.5192786165626585,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,openai.gpt-5,10535,0.7438063597532036,0.5098593057972663,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,10410,0.7402497598463016,0.49802899542438894,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,10535,0.693782629330802,0.4941853862052741,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,10532,0.7395556399544246,0.49013614623805385,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,10514,0.7426288757846681,0.4865590200566014,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,openai.gpt-5,10535,0.7429520645467489,0.484191660590035,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,10535,0.7349786426198386,0.4808764309655444,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,10429,0.7404353245757024,0.47887321603765565,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_3,openai.o3,10531,0.709904092678758,0.4777790069050349,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,10338,0.7304120719674986,0.47611082592060255,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,openai.gpt-5,10535,0.7296630280018984,0.474955426995688,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,openai.o3,10526,0.7254417632528976,0.4720630850124118,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,openai.o3,10529,0.7103238674138095,0.4640238230252928,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_FewShot_ALL,openai.o3,10529,0.6626460252635578,0.45137933055823654,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,10264,0.730709275136399,0.4481687799221384,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,10523,0.7256485793024803,0.4375966668589483,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,10505,0.6995716325559258,0.4030587455561981,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,10535,0.6975794969150451,0.38211577068095504,Experiment_800_NoReasoning,experiment_800,2025-12-21T00:40:49Z
