Prompt,Model,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,0.007089672859963041,0.5296247379897222,0.5558910991954367
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,0.00742853200130878,0.47468785210717424,0.5041995005847979
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,0.007140967849955939,0.4834275185916598,0.5117077963487572
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,0.007685053034143304,0.5103043878342365,0.5407418087588549
TalkMoves_Teacher_FewShot_3,openai.gpt-5,0.007213212622159246,0.4957862529098482,0.5242593114812346
TalkMoves_Teacher_FewShot_3,openai.o3,0.007042353777973171,0.4636958345331586,0.49210037060156314
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,0.008104957420240455,0.567027624750257,0.5985796668237855
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,0.006967398342331915,0.5050436334200132,0.5329237573659169
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,0.006980484883394923,0.5559949458424261,0.5841277302768496
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,0.007353989635275698,0.5220122814003648,0.5517011466281001
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,0.007086565663653129,0.48011476903510053,0.5089308013796122
TalkMoves_Teacher_FewShot_ALL,openai.o3,0.006556924153490824,0.43789217109828943,0.46431656665360904
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,0.007075771279714705,0.4725554861519213,0.5005579886205981
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,0.007198634089998338,0.42322566275792967,0.452260595124299
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,0.007253169607099139,0.4333679047703365,0.4622851190476104
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,0.007308887144190113,0.4649130439996495,0.49389495313339077
TalkMoves_Teacher_OneShot,openai.gpt-5,0.00714344474125848,0.47034646306959144,0.4991803281134692
TalkMoves_Teacher_OneShot,openai.o3,0.007326847423543475,0.45799835695634156,0.48678244339419646
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,0.007117507393416599,0.4666678009940636,0.4947594356027727
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,0.007251900182625075,0.38820929524916875,0.4171488826888432
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,0.007484464319453362,0.36803703602507876,0.3969452556620738
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,0.007410783009327855,0.46143010328056167,0.49013841682624404
TalkMoves_Teacher_ZeroShot,openai.gpt-5,0.007313742606601653,0.46082004686046374,0.48893533397252265
TalkMoves_Teacher_ZeroShot,openai.o3,0.00727187329164132,0.4498623504618306,0.4782074888743726
