Prompt,Model,Files_Total,Files_Empty,Files_Truncated,Files_Parse_Fail,Files_Success,Utterances_Returned,Expected_Utterances,Utterances_Returned_Pct,Files_Returned_Pct
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,467,0,0,0,467,10554,10535,100.2,100
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,467,0,0,0,467,10558,10535,100.2,100
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,467,0,4,0,463,10733,10535,101.9,99.1
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,429,0,1,0,428,9562,10535,90.8,99.8
TalkMoves_Teacher_FewShot_3,openai.gpt-5,467,0,0,0,467,10535,10535,100,100
TalkMoves_Teacher_FewShot_3,openai.o3,467,0,0,0,467,10531,10535,100,100
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,364,0,1,0,363,8440,10535,80.1,99.7
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,467,0,0,0,467,10558,10535,100.2,100
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,467,0,4,0,463,11089,10535,105.3,99.1
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,407,0,0,0,407,9094,10535,86.3,100
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,467,0,0,0,467,10535,10535,100,100
TalkMoves_Teacher_FewShot_ALL,openai.o3,467,0,0,0,467,10549,10535,100.1,100
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,467,0,1,0,466,10533,10535,100,99.8
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,467,0,0,0,467,10555,10535,100.2,100
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,467,0,10,0,457,10780,10535,102.3,97.9
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,465,0,1,0,464,10435,10535,99.1,99.8
TalkMoves_Teacher_OneShot,openai.gpt-5,467,0,0,0,467,10535,10535,100,100
TalkMoves_Teacher_OneShot,openai.o3,467,0,0,0,467,10534,10535,100,100
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,467,0,0,0,467,10537,10535,100,100
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,466,0,0,0,466,10524,10535,99.9,100
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,467,0,0,0,467,10539,10535,100,100
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,462,0,1,0,461,10346,10535,98.2,99.8
TalkMoves_Teacher_ZeroShot,openai.gpt-5,467,0,0,0,467,10535,10535,100,100
TalkMoves_Teacher_ZeroShot,openai.o3,467,0,0,0,467,10530,10535,100,100
