Model,Prompt1,Prompt2,Kappa_Diff_Observed,P_Value,Significant_05,Significant_01,Significant_001
anthropic.claude-4.5-opus,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.04550849097844889,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-opus,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.05637192967364085,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-opus,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.06226082542637751,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-opus,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.10075577894721383,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-opus,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.10600215727210405,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-opus,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.0059146903239661874,0.07,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.028912753763263077,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.05257472490714138,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.08673066062544682,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.08146671098500963,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.11608821353143567,0,TRUE,TRUE,TRUE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.03487768056548207,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.07024054305528538,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.05314295026314414,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.1193946890436886,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.1230100232594703,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.18849325628551744,0,TRUE,TRUE,TRUE
google.gemini-2.5-pro,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.06537494639074659,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.009581303811564634,0.252,FALSE,FALSE,FALSE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.05181567116807684,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.054039215755488534,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.056943336566258385,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.06316246513288643,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.00301792835064274,0.558,FALSE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,0.01567391959199227,0.02,TRUE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.02566764520723136,0,TRUE,TRUE,TRUE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.03490387880157836,0,TRUE,TRUE,TRUE
openai.gpt-5,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.00999372561523909,0.182,FALSE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.01922995920958609,0.006,TRUE,TRUE,FALSE
openai.gpt-5,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.009236233594346999,0.044,TRUE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,0.026453270859246536,0,TRUE,TRUE,TRUE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.0061019491388653035,0.276,FALSE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.01381460273950813,0.098,FALSE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,-0.020573333428374696,0.006,TRUE,TRUE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,-0.012834078815724514,0.2,FALSE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.00743586345400854,0.402,FALSE,FALSE,FALSE
