Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,None,0.008176304348059849,0.6111880755100264,0.6433786350304752
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Keeping Everyone Together,0.013616323185740443,0.23425426135522723,0.28814979277247066
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,0.03168470082911836,0.5356698708600257,0.6572390600641826
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Restating,0.028743580113534627,0.6079603121899843,0.7230982615895981
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Revoicing,0.023914045525384654,0.3372249855067115,0.42742014814473955
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Pressing for Accuracy,0.011249970911333626,0.6494563100683026,0.6924646480551466
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Pressing for Reasoning,0.024409712910339793,0.3315121058027097,0.42900018803683015
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,None,0.008539379943053788,0.5577193110410967,0.5907325932050631
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Keeping Everyone Together,0.013476956336909478,0.18188062507327438,0.2354157705296437
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,0.03765700679139962,0.4349738075120643,0.5868401197374191
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Restating,0.029108645327973446,0.5141807462388175,0.6305878129181223
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Revoicing,0.022099584451502584,0.26065395446170486,0.35204654214007863
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.011173002864309752,0.6122710380326664,0.656234736538907
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.02456057651316569,0.30861685616948853,0.4053737023794387
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,None,0.008564581189029074,0.5724516830471089,0.6076792122177298
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Keeping Everyone Together,0.012914112525260502,0.1801786255546935,0.23274073640190515
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.03550162982232399,0.48591021564682074,0.6264568444590175
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Restating,0.029102871480662512,0.5926684171605263,0.7065870724140156
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Revoicing,0.0227454682183776,0.30535760892511915,0.3971215482319674
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Accuracy,0.01151661643974368,0.6025092949280701,0.6467366020751544
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Reasoning,0.022085169998276002,0.26132352427035044,0.34857101309522254
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,None,0.008526520700639095,0.5878587861980864,0.6226381271305826
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Keeping Everyone Together,0.013774876086895755,0.23364894148015808,0.28693062923342166
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.03470115841919057,0.472064899706284,0.6046303536936789
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Restating,0.030808427369862595,0.5890729568186005,0.7069469490453575
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Revoicing,0.02665902271895156,0.3394154658683859,0.4440876983385132
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Accuracy,0.01146332922618892,0.6313716480857247,0.6761683585890205
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Reasoning,0.02628031876042035,0.3309805479301039,0.43727143943434865
TalkMoves_Teacher_FewShot_3,openai.gpt-5,None,0.008401298830315613,0.5826743665118522,0.6151431982438618
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Keeping Everyone Together,0.01356348267687591,0.19062976976181203,0.24516104681576284
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.032262787272733615,0.5407213691489035,0.6665054219398817
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Restating,0.028092940445767475,0.6771199531610191,0.7888916382471319
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Revoicing,0.021908966728758802,0.35131153181310687,0.434009388451198
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Accuracy,0.01148075255191433,0.5995457506824181,0.6453279467799734
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Reasoning,0.0210889356615029,0.27083733571128854,0.35707756042477323
TalkMoves_Teacher_FewShot_3,openai.o3,None,0.008059312986029429,0.5690825092294922,0.6007800481493248
TalkMoves_Teacher_FewShot_3,openai.o3,Keeping Everyone Together,0.013046616294703092,0.2530688464016954,0.3053780620966197
TalkMoves_Teacher_FewShot_3,openai.o3,Getting Students to Relate to Another's Ideas,0.031797010302515694,0.49864658545129525,0.6204975362832097
TalkMoves_Teacher_FewShot_3,openai.o3,Restating,0.03182035062908329,0.5116253114945294,0.6334941448725195
TalkMoves_Teacher_FewShot_3,openai.o3,Revoicing,0.023556811080735172,0.31268347282673054,0.40341676949073857
TalkMoves_Teacher_FewShot_3,openai.o3,Pressing for Accuracy,0.012523692393023917,0.5211296040755354,0.5697621212795206
TalkMoves_Teacher_FewShot_3,openai.o3,Pressing for Reasoning,0.0183240684805876,0.213234293682144,0.28551248410343477
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,None,0.008362148972204133,0.6474133528152454,0.6801136365680122
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Keeping Everyone Together,0.013828773512712543,0.44631811234151153,0.50028582424617285
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,0.034153272603344685,0.6152311256570103,0.7442695468667708
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Restating,0.031837480543971806,0.6479947232147586,0.7746682913347345
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Revoicing,0.023376520038027978,0.2641203739518936,0.3576708322216028
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Pressing for Accuracy,0.012489972914814688,0.6240016380993937,0.671628930438094
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-opus,Pressing for Reasoning,0.027017287484940884,0.3170861361032168,0.4247645837689726
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,None,0.008203662789139345,0.577535582610349,0.610114688415998
