Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,None,7077,7283,0.8382534409112482,0.6275517480459871
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,156,181,0.987375415282392,0.5989622256193313
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Keeping Everyone Together,1431,655,0.8663502610346464,0.2620772682499729
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Pressing for Accuracy,1367,1234,0.929093497864262,0.6724772189722571
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Pressing for Reasoning,124,494,0.9643094447081159,0.3799175281358318
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Revoicing,242,461,0.9600379686758425,0.38253560743095344
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-opus,Restating,138,227,0.988704318936877,0.6685725751680757
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,None,7075,7284,0.8151348271933156,0.5742184635223454
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,122,0.9874667679453095,0.5189256676512698
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1431,593,0.8602354728446638,0.2098155711823302
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1366,1189,0.9218571971135586,0.6336643321271807
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,509,0.9621154576528674,0.3575028545113507
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Revoicing,242,556,0.9489175845043677,0.3035138146320942
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Restating,138,279,0.9833839726547664,0.572846270081857
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,None,6983,7096,0.820268972142171,0.5896069954492292
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,156,139,0.9876080691642651,0.556448016932325
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Keeping Everyone Together,1423,541,0.8614793467819405,0.20598888559414952
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Accuracy,1354,1269,0.9172910662824207,0.6244912538777321
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Reasoning,118,608,0.9523535062439962,0.3035823824966581
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Revoicing,240,539,0.9530259365994236,0.3515852787086966
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Restating,136,218,0.9884726224783862,0.655473318763853
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,None,6398,6492,0.8266053126960887,0.6054556819044926
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,142,150,0.98619535661995394,0.5409412024859754
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Keeping Everyone Together,1339,733,0.8554695670361849,0.2596604160679103
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Accuracy,1223,1153,0.924492783936415,0.6530610419359213
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Reasoning,119,463,0.9633967789165446,0.3864770875306375
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Revoicing,212,379,0.9635013595482117,0.3921918182967285
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Restating,129,192,0.9883915498849613,0.6485334117474068
TalkMoves_Teacher_FewShot_3,openai.gpt-5,None,7077,7060,0.822781205505458,0.5986445960606295
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,194,0.9870906502135738,0.6049435275160311
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Keeping Everyone Together,1431,649,0.8585666824869482,0.2173090667722678
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Accuracy,1367,1339,0.9155196962505933,0.6226428231403183
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Reasoning,124,618,0.9525391551969625,0.312669353443361
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Revoicing,242,496,0.9588039867109635,0.3931875256643662
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Restating,138,179,0.9923113431419079,0.7406427164866731
TalkMoves_Teacher_FewShot_3,openai.o3,None,7075,6456,0.8086601462349254,0.5850820806568525
TalkMoves_Teacher_FewShot_3,openai.o3,Getting Students to Relate to Another's Ideas,155,196,0.985661380685595,0.562610899210891
TalkMoves_Teacher_FewShot_3,openai.o3,Keeping Everyone Together,1431,1170,0.8436045959548001,0.2785903565884389
TalkMoves_Teacher_FewShot_3,openai.o3,Pressing for Accuracy,1366,1228,0.9018136929066566,0.5455797258034405
