Prompt,Model,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,0.00493596004284431,0.35831594957173185,0.37807037840559943
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,0.005179621317095558,0.36155776665375017,0.3821405777686803
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,0.0050233502884658235,0.39468387895467194,0.41449077650578114
TalkMoves_Teacher_FewShot_3,openai.gpt-5,0.004913424113311774,0.3868864169096288,0.40624623245007924
TalkMoves_Teacher_FewShot_3,openai.o3,0.004736790594473297,0.40808966001895214,0.4271430847523112
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,0.0048937792796427135,0.3579701020000449,0.3774743767739606
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,0.005054424037248156,0.3558820507194878,0.3760025729517035
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,0.0050134864211725735,0.4324032627549074,0.45178417713011026
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,0.005140782651685322,0.41793134530666054,0.4378787440674758
TalkMoves_Teacher_FewShot_ALL,openai.o3,0.004912135940794997,0.41905396720382987,0.43858524585281056
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,0.004818993687548144,0.3594650354333719,0.3786100903622705
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,0.0050021554854281945,0.35317839055606687,0.3729515861662101
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,0.004916157288381124,0.4323877691222242,0.45245679563711017
TalkMoves_Teacher_OneShot,openai.gpt-5,0.00497906546798866,0.4217304984400956,0.4419034973254533
TalkMoves_Teacher_OneShot,openai.o3,0.004829894834476878,0.42004642545579324,0.4397537282851244
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,0.004896246625224601,0.3527283267990414,0.3725148063275382
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,0.00492426966488869,0.35913354772964806,0.3787041196840166
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,0.004928970929691144,0.42938245391853264,0.44854763895812577
TalkMoves_Teacher_ZeroShot,openai.gpt-5,0.00509178735358872,0.4190260764315124,0.4391226475424418
TalkMoves_Teacher_ZeroShot,openai.o3,0.004946278247998114,0.42878636214694577,0.44826014294053274
