Prompt,Model,Files_Total,Files_Empty,Files_Truncated,Files_Parse_Fail,Files_Success,Utterances_Returned,Expected_Utterances,Utterances_Returned_Pct,Files_Returned_Pct
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,1189,0,1,0,1188,23188,23208,99.9,99.9
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,1186,0,0,0,1186,23148,23208,99.7,100
TalkMoves_Teacher_FewShot_3,openai.gpt-5,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_FewShot_3,openai.o3,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,1189,0,35,0,1154,22578,23208,97.3,97.1
TalkMoves_Teacher_FewShot_ALL,google.gemini-3-pro-preview,1180,0,1,0,1179,22961,23208,98.9,99.9
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_FewShot_ALL,openai.o3,1189,0,0,0,1189,23209,23208,100,100
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,1189,0,41,0,1148,22416,23208,96.6,96.6
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,1180,0,1,0,1179,22961,23208,98.9,99.9
TalkMoves_Teacher_OneShot,openai.gpt-5,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_OneShot,openai.o3,1189,0,0,0,1189,23207,23208,100,100
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,1189,0,1,0,1188,23188,23208,99.9,99.9
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,1179,0,6,0,1173,22679,23208,97.7,99.5
TalkMoves_Teacher_ZeroShot,openai.gpt-5,1189,0,0,0,1189,23208,23208,100,100
TalkMoves_Teacher_ZeroShot,openai.o3,1189,0,0,0,1189,23197,23208,100,100
