Model,Prompt1,Prompt2,Kappa_Diff_Observed,P_Value,Significant_05,Significant_01,Significant_001
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,7.780662889568246e-4,0.816,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,-8.870666628471024e-4,0.758,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.0059189578636859586,0.07,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,-0.001665132951803927,0.16,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.005140891574729134,0.084,FALSE,FALSE,FALSE
anthropic.claude-4.5-sonnet,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.006806024526533061,0.026,TRUE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,0.006053755326365151,0.074,FALSE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,0.00810591460290111,0.028,TRUE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,0.002788526339931152,0.458,FALSE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0.0023540432063811068,0.408,FALSE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,-0.004605540047591117,0.17,FALSE,FALSE,FALSE
google.gemini-2.5-pro,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,-0.006893617253036555,0.046,TRUE,FALSE,FALSE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.03933356222440987,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,-0.03933356222440987,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,-0.03383308654803807,0,TRUE,TRUE,TRUE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,0,1,FALSE,FALSE,FALSE
google.gemini-3-pro-preview,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,0.007417276312541743,0.054,FALSE,FALSE,FALSE
google.gemini-3-pro-preview,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.007417276312541743,0.054,FALSE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.0316259697725092,0,TRUE,TRUE,TRUE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,-0.035330041618344576,0,TRUE,TRUE,TRUE
openai.gpt-5,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,-0.032589077044198556,0,TRUE,TRUE,TRUE
openai.gpt-5,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,-0.003704071845835377,0.254,FALSE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,-9.631072716893563e-4,0.768,FALSE,FALSE,FALSE
openai.gpt-5,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,0.002740964574146021,0.414,FALSE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_FewShot_ALL,-0.011255929850371937,0.002,TRUE,TRUE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_OneShot,-0.012400213801240179,0,TRUE,TRUE,TRUE
openai.o3,TalkMoves_Teacher_FewShot_3,TalkMoves_Teacher_ZeroShot,-0.02038356342473463,0,TRUE,TRUE,TRUE
openai.o3,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_OneShot,-0.0011375896965167276,0.752,FALSE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_FewShot_ALL,TalkMoves_Teacher_ZeroShot,-0.009111069486622603,0.022,TRUE,FALSE,FALSE
openai.o3,TalkMoves_Teacher_OneShot,TalkMoves_Teacher_ZeroShot,-0.007971647872923315,0.024,TRUE,FALSE,FALSE
