Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,None,15618,16301,0.7777921406411582,0.48322698790865803
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Keeping Everyone Together,3071,1157,0.8488452257842123,0.10551273150449701
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Reasoning,280,1812,0.9329541537400896,0.24033717645015404
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,306,291,0.9873750430885901,0.5028220927794261
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Accuracy,3076,2454,0.8794381247845571,0.4265795592976367
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Restating,295,487,0.9786280592899,0.35552556400348084
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Revoicing,562,706,0.958031713202344,0.21057364969162629
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,None,15598,17267,0.7845006037605659,0.48136050600761954
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Keeping Everyone Together,3071,1037,0.8457823011902709,0.06712746119935371
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Reasoning,280,1707,0.9376832844574781,0.25736540439742034
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,306,223,0.9894341900983267,0.5316511755670419
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Accuracy,3076,1793,0.8978350871140245,0.4607697852819696
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Restating,295,448,0.9802915301017768,0.3753425710507087
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Revoicing,562,713,0.9598499223736415,0.249458963106025
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,None,15575,15229,0.7748401589770174,0.4944963004243364
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Keeping Everyone Together,3060,2332,0.8232244686365993,0.14311786299556803
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Reasoning,280,1703,0.9378348021427337,0.2589352989236366
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,306,309,0.9877743217556593,0.5336424119407915
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Pressing for Accuracy,3073,2773,0.903663383445654,0.5635789038500475
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Restating,295,275,0.9815102816658027,0.2397743726840872
TalkMoves_Teacher_FewShot_3,google.gemini-3-pro-preview,Revoicing,559,527,0.9644893727319855,0.22492826953757683
TalkMoves_Teacher_FewShot_3,openai.gpt-5,None,15618,15040,0.7661151327128576,0.4788503976379022
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Keeping Everyone Together,3071,2278,0.8238107549120993,0.13845542305961978
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Reasoning,280,1582,0.943295415374009,0.27844031720747375
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Getting Students to Relate to Another's Ideas,306,371,0.9881506377111341,0.587840021326772
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Accuracy,3076,3036,0.8940882454326095,0.5368568197353278
