Prompt,Model,Files_Total,Files_Empty,Files_Truncated,Files_Parse_Fail,Files_Success,Utterances_Returned,Expected_Utterances,Utterances_Returned_Pct,Files_Returned_Pct
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,465,0,0,0,465,10530,23208,45.4,100
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,467,0,0,0,467,10620,23208,45.8,100
TalkMoves_Teacher_FewShot_3,openai.gpt-5,467,0,0,0,467,10534,23208,45.4,100
TalkMoves_Teacher_FewShot_3,openai.o3,466,0,0,0,466,10535,23208,45.4,100
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,467,0,0,0,467,10877,23208,46.9,100
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,467,0,20,0,447,10313,23208,44.4,95.7
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,467,0,0,0,467,10535,23208,45.4,100
TalkMoves_Teacher_FewShot_ALL,openai.o3,467,0,0,0,467,10534,23208,45.4,100
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,467,0,0,0,467,10884,23208,46.9,100
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,467,0,16,0,451,10456,23208,45.1,96.6
TalkMoves_Teacher_OneShot,openai.gpt-5,467,0,0,0,467,10534,23208,45.4,100
TalkMoves_Teacher_OneShot,openai.o3,467,0,0,0,467,10563,23208,45.5,100
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,467,0,0,0,467,10640,23208,45.8,100
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,467,0,0,0,467,10811,23208,46.6,100
TalkMoves_Teacher_ZeroShot,openai.gpt-5,467,0,0,0,467,10535,23208,45.4,100
TalkMoves_Teacher_ZeroShot,openai.o3,465,0,0,0,465,10529,23208,45.4,100
